filename,bleu,rouge1,rougeL,token_f1,bert_f1,jaccard,total_awarded,total_possible,quiz_score
q1_qwen2.5_rag_answers.txt,0.0114,0.1255,0.1204,0.094,0.8396,0.0677,35.0,38,92.11
q1_qwen2.5_answers.txt,0.0067,0.1104,0.1055,0.0782,0.8347,0.0563,32.0,38,84.21
q1_phi4_rag_answers.txt,0.0063,0.1062,0.1011,0.0748,0.8319,0.0545,36.0,38,94.74
q1_phi4_answers.txt,0.0073,0.124,0.1189,0.0945,0.8362,0.0648,27.0,38,71.05
q1_mistral_rag_answers.txt,0.011,0.1591,0.1406,0.1268,0.8535,0.0833,34.0,38,89.47
q1_mistral_answers.txt,0.0076,0.1193,0.1086,0.0802,0.8374,0.0585,32.0,38,84.21
q1_deepseek-r1_rag_answers.txt,0.0132,0.168,0.1488,0.1316,0.8502,0.088,32.0,38,84.21
q1_deepseek-r1_answers.txt,0.0054,0.1087,0.1004,0.0822,0.8333,0.0556,34.0,38,89.47
